City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
fuerte olimpo,0,BR,1554661782,74,-21.04,-57.87,25.98,4.76
sinnamary,88,GF,1554661782,93,5.38,-52.96,27.03,5.31
hithadhoo,92,MV,1554661783,100,-0.6,73.08,29.68,1.61
muros,90,ES,1554661756,100,42.77,-9.06,13.89,3.1
upernavik,36,GL,1554661580,82,72.79,-56.15,2.53,8.01
khingansk,88,RU,1554661784,90,49.12,131.18,-1.67,1.41
iskateley,92,RU,1554661784,87,67.68,53.15,-1.72,1.41
cape town,75,ZA,1554661693,93,-33.93,18.42,19.44,4.6
avarua,64,CK,1554660000,83,-21.21,-159.78,26,2.6
pathein,0,MM,1554661760,92,16.78,94.73,23.23,2.71
wewak,92,PG,1554661785,100,-3.55,143.63,23.33,1.06
new norfolk,20,AU,1554661756,61,-42.78,147.06,10,3.1
port alfred,20,ZA,1554661595,90,-33.59,26.89,18.89,2.68
merauke,68,ID,1554661787,99,-8.49,140.4,26.13,1.41
barrow,0,AR,1554661567,37,-38.31,-60.23,28.28,4.51
rikitea,32,PF,1554661787,100,-23.12,-134.97,25.08,3.71
leningradskiy,44,RU,1554661787,78,69.38,178.42,-18.12,1.61
codrington,40,AU,1554661703,93,-28.95,153.24,18.33,2.6
bambanglipuro,32,ID,1554661788,96,-7.95,110.28,21.98,1.21
baijiantan,0,CN,1554661788,36,45.63,85.18,7.18,3.61
rocha,0,UY,1554661789,61,-34.48,-54.34,23.23,1.96
chokurdakh,32,RU,1554661789,66,70.62,147.9,-13.12,1.31
pontes e lacerda,68,BR,1554661523,81,-15.23,-59.33,24.58,3.01
hasaki,0,JP,1554661477,76,35.73,140.83,11.11,5.7
iqaluit,90,CA,1554660600,85,63.75,-68.52,-4,7.7
boguchany,12,RU,1554661790,57,58.38,97.46,-0.72,3.31
farafangana,8,MG,1554661791,96,-22.82,47.83,26.43,3.11
jamestown,0,AU,1554661791,81,-33.21,138.6,5.88,1.11
vila franca do campo,20,PT,1554661742,54,37.72,-25.43,15,8.2
kulevcha,68,UA,1554661792,67,46.03,29.93,10.83,2.51
bandarbeyla,0,SO,1554661792,100,9.49,50.81,26.88,3.41
ambon,40,FR,1554661761,76,47.55,-2.56,11.67,4.6
nome,90,US,1554661774,88,30.04,-94.42,25,3.6
constitucion,40,MX,1554661216,25,23.99,-104.67,18,2.6
shimanovsk,0,RU,1554661802,79,52,127.67,-5.82,1.51
pital,88,CO,1554661804,99,2.27,-75.81,20.33,1.31
karratha,44,AU,1554661637,89,-20.74,116.85,24.38,1.26
carnarvon,68,ZA,1554661805,51,-30.97,22.13,18.18,6.51
touros,40,BR,1554660000,70,-5.2,-35.46,31,6.2
amga,8,RU,1554661807,74,60.89,131.98,-6.42,2.56
tuatapere,8,NZ,1554661808,100,-46.13,167.69,6.28,1.51
mahon,75,IE,1554661750,87,51.89,-8.4,8.89,5.7
cherskiy,0,RU,1554661810,47,68.75,161.3,-18.97,1.01
cascais,40,PT,1554661809,93,38.7,-9.42,16.11,5.7
okhotsk,0,RU,1554661811,91,59.36,143.24,-5.47,0.71
puerto ayora,20,EC,1554660963,70,-0.74,-90.35,30,4.6
xingtai,44,CN,1554661811,73,37.07,114.49,9.48,3.21
qaanaaq,88,GL,1554661812,92,77.48,-69.36,-7.07,6.71
ambunti,92,PG,1554661812,100,-4.22,142.82,24.18,0.96
san ignacio,0,CL,1554660000,34,-36.8,-72.03,27,2.1
mozarlandia,44,BR,1554661571,90,-14.74,-50.57,28.93,1.46
la ronge,90,CA,1554657720,86,55.1,-105.3,-2,6.7
kodiak,1,US,1554661630,60,39.95,-94.76,22.22,3.6
kaitangata,0,NZ,1554661805,89,-46.28,169.85,7.78,0.89
holme,32,GB,1554661815,71,53.7,-2.31,14,3.1
nikolskoye,0,RU,1554661799,45,59.7,30.79,8.33,3
northam,0,GB,1554661804,76,51.04,-4.21,12.22,4.1
rafaela,0,AR,1554661809,25,-31.25,-61.49,29.44,2.06
mahebourg,20,MU,1554661739,74,-20.41,57.7,27,6.7
glace bay,75,CA,1554661809,56,46.2,-59.96,7.78,9.8
tucuman,0,PE,1554661819,64,-17.17,-70.89,20.93,1.61
kapaa,40,US,1554661814,73,22.08,-159.32,23,3.6
tiksi,56,RU,1554661820,74,71.64,128.87,-6.87,4.66
avera,1,US,1554661744,57,33.19,-82.53,26.67,3.1
lisakovsk,0,KZ,1554661821,77,52.55,62.49,-0.12,1.41
longyearbyen,20,NO,1554659400,66,78.22,15.63,-12,1.5
oyem,80,GA,1554661821,85,1.6,11.57,24.68,0.76
lulea,90,SE,1554659400,87,65.58,22.15,0,6.7
talnakh,88,RU,1554661822,94,69.49,88.39,-6.92,2.31
bambous virieux,20,MU,1554661739,74,-20.34,57.76,27,6.7
playas,12,EC,1554661822,66,-2.64,-80.39,31.03,2.41
tuktoyaktuk,75,CA,1554658620,77,69.44,-133.03,-16,4.6
port moresby,20,PG,1554660000,94,-9.47,147.16,24,2.6
buston,20,TJ,1554660000,77,40.53,69.33,16,2
khatanga,56,RU,1554661721,82,71.98,102.47,-9.67,6.61
leh,80,IN,1554661824,73,34.16,77.58,-13.87,0.61
matara,75,PE,1554660000,50,-13.74,-72.9,14,1.11
necochea,0,AR,1554661768,49,-38.55,-58.74,27.08,2.86
varkkallai,20,IN,1554660000,74,8.73,76.71,31,2.1
lauchhammer,0,DE,1554661816,54,51.5,13.76,16,2.1
catabola,32,AO,1554661826,65,-12.14,17.29,22.68,1.51
victoria,75,BN,1554660000,94,5.28,115.24,27,0.5
bethel,75,US,1554659760,86,60.79,-161.76,-3,5.1
chapais,1,CA,1554656400,48,49.78,-74.86,-6,3.6
maltahohe,0,NA,1554661828,25,-24.83,16.98,18.38,3.76
saint-joseph,0,FR,1554661824,71,43.56,6.97,12,0.5
puerto madero,0,AR,1554661805,56,-34.61,-58.36,27.22,3.1
hauterive,40,FR,1554661815,50,46.09,3.45,12,4.6
borovoy,68,RU,1554661830,72,63.23,52.89,-1.92,2.51
hilo,1,US,1554661640,64,19.71,-155.08,23.89,3.51
tra vinh,0,VN,1554661830,97,9.93,106.35,24.78,2.21
biak,12,ID,1554661831,99,-0.91,122.88,25.88,0.71
ribeira grande,40,PT,1554660000,58,38.52,-28.7,15,9.8
fortuna,0,ES,1554661821,42,38.18,-1.13,20,3.6
las vegas,75,US,1554661553,21,36.17,-115.15,23.89,1.5
tual,32,ID,1554661832,100,-5.67,132.75,28.78,2.56
westport,75,IE,1554661692,76,53.8,-9.52,11.67,5.1
georgetown,20,GY,1554660000,58,6.8,-58.16,31,6.2
quatre cocos,20,MU,1554661739,74,-20.21,57.76,27,6.7
east london,40,ZA,1554660000,83,-33.02,27.91,21,6.2
new kensington,1,US,1554661565,49,40.57,-79.76,23.89,2.6
esperance,20,TT,1554660954,43,10.24,-61.45,32,6.7
tshikapa,76,CD,1554661835,91,-6.42,20.79,24.28,0.86
salinopolis,92,BR,1554661836,100,-0.61,-47.36,26.58,2.76
umm lajj,20,SA,1554661836,72,25.02,37.27,22.58,2.56
saint-philippe,20,CA,1554661827,53,45.36,-73.48,11.11,1
fez,40,MA,1554660000,59,34.03,-5.02,17,2.6
kruisfontein,8,ZA,1554661837,71,-34,24.73,20.73,8.11
acari,80,BR,1554661837,62,-6.44,-36.64,28.78,5.06
hamilton,90,CA,1554661542,54,43.26,-79.87,15.56,4.1
sibu,75,MY,1554660000,100,2.29,111.83,25,2.1
presidente epitacio,12,BR,1554661839,81,-21.76,-52.12,26.43,3.21
trincomalee,12,LK,1554661839,87,8.58,81.23,25.03,2.11
bredasdorp,0,ZA,1554661813,82,-34.53,20.04,19.44,0.5
aitape,64,PG,1554661839,100,-3.15,142.36,25.88,1.86
butaritari,92,KI,1554661840,100,3.07,172.79,26.98,5.46
scarborough,0,GB,1554661823,93,54.28,-0.41,9,5.1
boulder city,1,US,1554661822,24,35.98,-114.83,23.89,1.5
mar del plata,92,AR,1554661841,64,-46.43,-67.52,13.53,3.56
princeton,90,US,1554661600,77,41.37,-89.46,21.11,5.7
itarema,48,BR,1554661841,95,-2.92,-39.92,27.63,3.41
thessalon,90,CA,1554660900,86,46.26,-83.55,6,6.11
geraldton,90,CA,1554660780,59,49.72,-86.95,1,10.3
vanavara,80,RU,1554661842,89,60.35,102.28,-2.92,3.41
severo-kurilsk,88,RU,1554661616,95,50.68,156.12,0.28,9.76
vallenar,0,CL,1554661843,67,-28.58,-70.76,21.93,1.26
zonguldak,68,TR,1554661843,82,41.25,31.83,11.43,0.46
san cristobal,75,EC,1554661022,60,-0.39,-78.55,20,1
agua verde,20,MX,1554661810,44,22.89,-105.97,27,4.6
sandwick,0,GB,1554661807,81,54.57,-2.89,13.33,1.79
taltal,0,CL,1554661844,74,-25.41,-70.49,20.58,1.61
brigantine,1,US,1554661669,55,39.41,-74.36,21.67,5.1
bilma,0,NE,1554661845,14,18.69,12.92,33.38,3.21
bulawayo,12,ZW,1554661845,54,-20.16,28.59,22.28,4.86
wilmington,40,US,1554661589,40,39.75,-75.55,22.22,2.6
dikson,36,RU,1554661846,100,73.51,80.55,-11.62,1.31
izhmorskiy,36,RU,1554661847,84,56.19,86.64,-5.57,3.36
pacific grove,1,US,1554661841,63,36.62,-121.92,21.67,3.6
kavieng,48,PG,1554661847,100,-2.57,150.8,25.88,2.01
seoul,0,KR,1554660000,48,37.57,126.98,8,1.5
erenhot,20,CN,1554661848,42,43.65,111.97,-2.37,5.26
baghdogra,12,IN,1554661848,94,25.86,87.82,19.23,4.91
ilo,0,PE,1554661849,66,-17.65,-71.34,24.03,1.76
pisco,0,PE,1554660000,30,-13.71,-76.2,22,4.6
aklavik,40,CA,1554656400,71,68.22,-135.01,-11,3.1
vestmannaeyjar,40,IS,1554660000,75,63.44,-20.27,5,11.8
raahe,0,FI,1554661841,69,64.68,24.47,4,4.1
hermanus,0,ZA,1554661813,82,-34.42,19.24,19.44,1.34
bridgend,75,GB,1554661685,76,51.51,-3.58,14,5.7
zheleznodorozhnyy,0,RU,1554660607,60,55.75,38,7.22,2
toora-khem,88,RU,1554661851,70,52.47,96.11,-4.07,2.21
svetlogorsk,56,RU,1554660000,60,53.14,59.15,4,3
mount gambier,90,AU,1554660000,100,-37.83,140.78,12,3.1
namibe,0,AO,1554661852,100,-15.19,12.15,25.23,3.91
nelson bay,0,AU,1554661846,87,-32.72,152.14,23.33,2.6
villa bruzual,0,VE,1554661737,43,9.33,-69.12,34.38,2.51
saravan,40,AM,1554660000,81,39.72,45.65,9,1
plettenberg bay,56,ZA,1554661697,88,-34.05,23.37,19.18,6.96
cidreira,88,BR,1554661854,96,-30.17,-50.22,20.93,3.56
cayenne,75,GF,1554660000,88,4.94,-52.33,26,3.1
nassau,0,DE,1554661674,54,51.17,13.51,15,2.1
fukue,75,JP,1554661844,100,35.03,136.69,12.78,1
chudovo,0,RU,1554661855,58,59.12,31.67,5.38,2.31
takoradi,68,GH,1554661855,93,4.89,-1.75,28.63,5.41
kirs,92,RU,1554661856,94,59.34,52.24,3.28,6.41
pekalongan,48,ID,1554661856,100,-6.89,109.67,28.38,2.11
namatanai,80,PG,1554661856,100,-3.66,152.44,25.53,2.86
porto velho,75,BR,1554660000,83,-8.75,-63.87,28,3.6
sao filipe,0,CV,1554661857,91,14.9,-24.5,22.73,6.96
gat,0,SN,1554660000,30,14.69,-16.54,29,10.3
dasoguz,0,TM,1554660000,58,41.84,59.97,13,3.1
airai,12,TL,1554661858,91,-8.93,125.41,20.28,0.46
kataysk,32,RU,1554661858,79,56.29,62.58,1.38,1.31
sabya,0,YE,1554661858,66,16.19,43.1,25.28,1.16
kulhudhuffushi,92,MV,1554661858,100,6.62,73.07,29.28,1.06
anadyr,0,RU,1554660000,60,64.73,177.51,-13,6
nieuw amsterdam,40,SR,1554661512,58,5.88,-55.08,29,4.1
chara,75,GR,1554661396,62,39.42,22.43,16.11,3.6
konakovo,32,RU,1554661860,72,56.71,36.78,2.18,2.21
marawi,36,PH,1554660988,88,8,124.29,25.56,1.34
hobyo,0,SO,1554661860,90,5.35,48.53,25.88,3.01
ratnagiri,0,IN,1554661795,100,16.98,73.3,27.03,3.01
klaksvik,44,FO,1554661200,60,62.23,-6.59,5,5.7
camacha,20,PT,1554660000,63,33.08,-16.33,19,6.7
arica,0,CL,1554660000,64,-18.48,-70.32,25,7.2
pundaguitan,76,PH,1554661862,100,6.37,126.17,27.23,2.91
yellowknife,90,CA,1554661651,85,62.45,-114.38,-3.33,4.6
chimore,0,BO,1554661862,64,-16.98,-65.13,25.18,1.61
lahat,56,ID,1554661863,95,-3.78,103.55,23.48,1.51
marivan,100,IR,1554661863,97,35.52,46.18,7.88,0.51
narsaq,88,GL,1554659400,91,60.91,-46.05,0,2.1
blairmore,48,CA,1554660960,49,49.61,-114.44,8,5.7
havre-saint-pierre,40,CA,1554661500,39,50.23,-63.6,-2,10.8
bachaquero,0,VE,1554661864,69,9.96,-71.12,32.03,2.71
sulangan,12,PH,1554661864,100,11.14,123.72,27.68,7.31
kisangani,44,CD,1554661865,98,0.52,25.21,23.68,0.76
platteville,90,US,1554661846,100,42.73,-90.48,15,2.6
saint-augustin,0,FR,1554661829,62,44.83,-0.61,15,4.1
kaduna,48,NG,1554661723,58,10.52,7.44,28.58,3.21
tasiilaq,92,GL,1554659400,94,65.61,-37.64,0,11.3
mount isa,0,AU,1554660000,56,-20.73,139.49,23,4.31
lazaro cardenas,5,MX,1554661681,28,28.39,-105.62,21.11,3.1
ekpoma,48,NG,1554661867,88,6.74,6.14,26.93,2.11
banda aceh,56,ID,1554661867,100,5.56,95.32,24.73,1.16
san quintin,0,PH,1554661868,83,17.54,120.52,20.68,1.06
inuvik,40,CA,1554660000,56,68.36,-133.71,-10,1.5
ust-karsk,0,RU,1554661868,66,52.71,118.82,-6.02,1.41
urengoy,80,RU,1554661869,85,65.96,78.37,-3.92,6.56
kavaratti,0,IN,1554661869,99,10.57,72.64,29.68,4.56
dunedin,0,NZ,1554661286,81,-45.87,170.5,11.67,4.92
salalah,0,OM,1554659400,78,17.01,54.1,27,2.1
feldkirchen an der donau,8,AT,1554661860,67,48.34,14.05,12.78,1.34
labuhan,88,ID,1554661870,97,-2.54,115.51,22.53,0.86
kachiry,0,KZ,1554661871,58,53.07,76.1,-1.17,2.71
nizip,40,TR,1554661388,87,37.01,37.79,12.22,2.1
korem,0,ET,1554661871,81,12.51,39.52,15.88,0.36
lebu,75,ET,1554660000,67,8.96,38.73,17,2.1
porto novo,40,BR,1554660000,62,-23.68,-45.44,29,1
provideniya,0,RU,1554661872,100,64.42,-173.23,-9.62,11.21
gazimurskiy zavod,0,RU,1554661873,78,51.55,118.33,-10.07,1.66
quesnel,75,CA,1554656400,60,52.98,-122.49,5,2.6
nizwa,32,OM,1554661608,23,22.93,57.53,25.18,2.41
tazovskiy,88,RU,1554661612,88,67.47,78.7,-1.97,6.81
paoua,80,CF,1554661874,58,7.24,16.43,27.73,4.66
margate,20,AU,1554661820,61,-43.03,147.26,10,3.1
ritchie,75,ZA,1554660000,68,-29.03,24.6,20,6.7
colares,40,PT,1554661829,93,38.8,-9.45,16.11,5.7
hofn,75,IS,1554656400,60,64.25,-15.21,4,4.6
katsuura,75,JP,1554660300,82,33.93,134.5,14,6.7
tura,0,IN,1554661876,94,25.52,90.21,17.98,2.86
rio grande,75,BR,1554660000,53,-32.03,-52.1,25,3.6
san vicente,40,SV,1554661540,62,13.64,-88.78,31,3.6
rafsanjan,92,IR,1554661877,68,30.4,55.99,14.98,1.96
sorland,20,NO,1554659400,59,67.67,12.69,1,2.6
cove,75,US,1554661877,100,29.8,-94.84,23,2.6
yabelo,8,ET,1554661878,30,4.89,38.09,25.88,3.91
sawtell,40,AU,1554661692,93,-30.38,153.1,19,1
ahipara,48,NZ,1554661879,94,-35.17,173.16,15.08,5.76
el limon,68,VE,1554661879,56,10.3,-67.63,29.43,1.06
mata,75,CU,1554659400,45,22.63,-79.93,31,8.2
abha,0,SA,1554660000,77,18.22,42.5,19,2.1
doha,0,QA,1554660000,73,25.29,51.53,28,3.1
flinders,12,AU,1554661817,67,-34.58,150.85,20,1.5
lagoa,20,PT,1554661628,93,37.14,-8.45,16.11,7.7
pevek,24,RU,1554661881,88,69.7,170.27,-21.42,2.41
bourail,44,NC,1554661882,98,-21.57,165.5,18.73,3.86
port elizabeth,1,US,1554661869,45,39.31,-74.98,22.78,3.6
ampanihy,0,MG,1554661882,46,-24.69,44.75,28.28,5.66
los llanos de aridane,75,ES,1554661801,68,28.66,-17.92,19,2.6
vuktyl,0,RU,1554661883,83,63.86,57.31,2.08,3.01
isangel,24,VU,1554661884,100,-19.55,169.27,25.08,5.16
shakawe,68,BW,1554661884,59,-18.36,21.84,24.83,1.66
ust-nera,76,RU,1554661884,86,64.57,143.24,-7.57,1.01
maragogi,76,BR,1554661884,88,-9.01,-35.22,27.38,4.31
gravdal,20,NO,1554661850,75,59.79,5.78,8.89,1.5
port blair,0,IN,1554661621,100,11.67,92.75,29.28,1.96
adrar,0,DZ,1554660000,9,27.87,-0.29,26,3.6
north myrtle beach,1,US,1554661863,77,33.83,-78.68,24.44,5.7
salekhard,68,RU,1554661886,80,66.54,66.62,-5.47,3.86
souillac,0,FR,1554661871,58,45.6,-0.6,15,4.1
kandi,24,BJ,1554661887,40,11.13,2.93,31.53,2.21
vardo,75,US,1554661745,46,39.62,-77.74,22.78,6.2
arlit,0,NE,1554661887,17,18.74,7.39,29.78,3.21
yerbogachen,48,RU,1554661888,72,61.28,108.01,-2.22,2.96
cockburn town,0,TC,1554661888,96,21.46,-71.14,26.28,7.51
hami,24,CN,1554661645,73,42.84,93.51,8.63,0.61
oktyabrskiy,0,RU,1554660607,60,55.61,37.97,7.22,2
vanino,12,RU,1554661810,62,53.93,40.55,2.22,0.45
kamloops,20,CA,1554661807,37,50.68,-120.34,12,1
catuday,8,PH,1554661890,95,16.29,119.81,27.13,3.16
srandakan,32,ID,1554661890,96,-7.94,110.25,21.98,1.21
oranjemund,92,ZA,1554661890,92,-28.55,16.43,16.38,1.66
taybad,68,IR,1554661891,67,34.74,60.78,14.18,0.96
peterhead,75,AU,1554661890,77,-34.83,138.5,18,4.6
vao,24,EE,1554661891,62,59.1,26.19,7.33,3.06
arona,75,IT,1554661884,76,45.76,8.56,11.11,2.1
mosquera,75,CO,1554660000,59,4.71,-74.23,19,4.6
kollam,20,IN,1554660000,74,8.88,76.6,31,2.1
peer,0,BE,1554661884,45,51.13,5.45,19.44,2.6
yakima,40,US,1554661522,76,46.6,-120.51,10.56,1.51
jumla,0,NP,1554661893,80,29.28,82.18,-2.07,1.06
portoferraio,20,IT,1554661862,81,42.81,10.31,13.33,3.1
taoudenni,0,ML,1554661894,16,22.68,-3.98,27.33,1.41
saint-pierre,90,FR,1554661625,66,48.95,4.24,14,4.1
digri,0,PK,1554661895,23,25.16,69.11,31.38,6.11
nuuk,20,GL,1554659400,69,64.17,-51.74,3,5.1
antequera,12,PY,1554661896,77,-24.09,-57.2,24.48,2.66
zhigansk,64,RU,1554661896,75,66.77,123.37,-4.72,3.01
lewisporte,75,CA,1554661851,68,49.25,-55.06,5,5.7
kargil,76,PK,1554661896,88,34.56,76.13,-9.72,0.66
turukhansk,92,RU,1554661897,91,65.8,87.96,-4.02,8.16
kununurra,76,AU,1554660000,83,-15.77,128.74,27,3.6
verkhoyansk,0,RU,1554661898,54,67.55,133.39,-16.17,1.16
norman wells,75,CA,1554656400,79,65.28,-126.83,-5,1.31
alta floresta,92,BR,1554661898,87,-9.87,-56.08,25.78,0.91
alofi,92,NU,1554660000,94,-19.06,-169.92,25,2.1
concordia,20,AR,1554661612,61,-31.4,-58.02,25,2.1
batticaloa,20,LK,1554661899,100,7.71,81.69,27.43,3.31
finschhafen,92,PG,1554661900,97,-6.6,147.85,22.43,1.01
pangnirtung,90,CA,1554656400,58,66.15,-65.72,-2,2.1
tilichiki,48,RU,1554661900,83,60.47,166.1,-7.62,1.46
harper,90,US,1554661844,77,30.3,-99.24,21,2.1
wanning,8,AT,1554661889,73,48.64,13.53,12.78,0.89
guerrero negro,0,MX,1554661901,56,27.97,-114.04,23.68,1.61
oussouye,0,SN,1554660000,48,12.49,-16.54,39,4.1
jiangyou,20,CN,1554661902,68,31.78,104.73,14.08,1.71
west wendover,20,US,1554659760,44,40.74,-114.07,14,3.6
sarakhs,12,TM,1554660000,87,36.54,61.16,16,1
pucallpa,75,PE,1554660000,331,-8.38,-74.54,2,3.1
acajutla,44,SV,1554661540,65,13.59,-89.83,28.89,0.89
batagay-alyta,0,RU,1554661903,46,67.8,130.41,-19.57,1.21
caraballeda,0,VE,1554661874,47,10.61,-66.85,27.22,1.79
fort nelson,90,CA,1554656400,86,58.81,-122.69,-1,1.06
burntwood,75,GB,1554661888,81,52.68,-1.92,13.33,2.1
banjar,68,ID,1554661905,95,-7.37,108.54,22.08,0.96
bridgetown,20,CA,1554660000,53,44.84,-65.29,11,12.3
darhan,80,MN,1554661906,40,49.49,105.92,-3.42,2.06
babushkin,88,RU,1554661906,72,51.72,105.86,-3.07,1.46
pionerskiy,0,RU,1554661906,79,61.2,62.86,0.88,1.86
arrifes,20,PT,1554661865,54,37.77,-25.7,15,8.2
alice springs,8,AU,1554660000,36,-23.7,133.88,18,2.1
peravurani,8,IN,1554661907,95,10.15,79.08,27.73,3.61
ukiah,75,US,1554661887,72,39.15,-123.21,17,4.6
arinos,80,BR,1554661908,88,-15.92,-46.11,24.78,1.96
loralai,0,PK,1554661908,27,30.37,68.6,16.33,4.76
tessalit,0,ML,1554661908,15,20.2,1.01,26.58,3.21
vega de alatorre,0,MX,1554661909,58,20.03,-96.65,29.73,1.56
te anau,0,NZ,1554661909,71,-45.41,167.72,-4.02,1.76
kuopio,0,FI,1554659400,45,62.89,27.68,6,2.1
jizan,20,SA,1554660000,58,16.89,42.56,31,2.1
port hedland,12,AU,1554660000,100,-20.31,118.58,26,1.21
sitka,0,US,1554661874,32,37.17,-99.65,23.33,8.49
samarai,92,PG,1554661911,100,-10.62,150.67,24.73,2.11
ostrovnoy,56,RU,1554661911,90,68.05,39.51,-2.82,3.21
manzhouli,8,CN,1554661911,69,49.6,117.43,-8.42,2.36
sola,20,NO,1554661871,75,58.89,5.65,7.22,1.5
bure,88,NG,1554661912,23,10.52,10.33,35.38,2.06
sistranda,20,NO,1554661845,69,63.73,8.83,3,8.7
roma,0,IT,1554661864,76,41.89,12.48,12.78,3.1
north platte,0,US,1554661514,26,41.12,-100.77,19.44,4.92
san patricio,0,PY,1554661913,61,-26.98,-56.83,24.73,2.56
kenora,90,CA,1554659700,93,49.76,-94.48,4,3.6
ahuimanu,1,US,1554661828,83,21.44,-157.84,24.44,1.71
beringovskiy,64,RU,1554661839,86,63.05,179.32,-12.02,11.46
soe,48,EE,1554661816,46,57.91,26.05,10,2.1
paamiut,8,GL,1554661915,91,61.99,-49.67,0.98,5.71
gazanjyk,68,TM,1554661915,80,39.24,55.52,13.78,1.71
morros,40,BR,1554660000,79,-2.87,-44.04,29,2.1
lompoc,1,US,1554661829,63,34.64,-120.46,22.78,3.51
olga,1,US,1554661897,46,34.11,-118.17,25,2.1
angoche,68,MZ,1554661916,100,-16.23,39.91,28.23,5.91
nichinan,0,JP,1554659556,62,31.65,131.31,12.78,3.21
rawson,36,AR,1554661917,36,-43.3,-65.11,27.03,1.36
kichera,0,RU,1554661917,53,55.93,110.1,-16.72,0.61
katobu,76,ID,1554661917,94,-4.94,122.53,28.28,1.81
meulaboh,48,ID,1554661918,100,4.14,96.13,27.13,0.86
denpasar,40,ID,1554660000,83,-8.65,115.22,28,1.5
bemidji,90,US,1554661568,100,47.48,-94.89,7,2.6
dublin,75,IE,1554661419,76,53.35,-6.26,9,5.7
ormara,0,PK,1554661919,71,25.21,64.64,26.88,6.01
curup,0,ID,1554661919,95,-3.47,102.53,21.13,0.36
pincher creek,48,CA,1554661889,49,49.49,-113.95,8,5.7
manzanillo,0,CU,1554661920,89,20.34,-77.12,28.98,1.36
anloga,75,GH,1554660000,94,5.79,0.9,24,4.1
saint george,75,GR,1554661396,62,39.45,22.34,16.11,3.6
jinchang,76,CN,1554661921,73,38.52,102.19,5.18,1.21
solwezi,64,ZM,1554661921,72,-12.18,26.4,22.38,2.76
port lincoln,92,AU,1554661922,94,-34.72,135.86,17.83,6.46
baykit,0,RU,1554661922,71,61.68,96.39,-11.17,2.56
gillette,1,US,1554661872,21,44.29,-105.5,17.22,7.2
arroyo,40,US,1554661846,59,41.39,-78.88,21.67,5.1
malamig,76,PH,1554661923,100,12.95,121.37,23.43,1.21
medvedka,88,RU,1554661923,98,61.17,46.39,1.88,1.76
biltine,0,TD,1554661924,32,14.53,20.93,28.13,2.11
chernyshevskiy,20,RU,1554661924,77,63.01,112.47,-4.32,3.21
prado,8,BR,1554661925,95,-17.34,-39.22,28.08,6.16
tevaitoa,88,PF,1554661925,100,-16.78,-151.5,28.58,7.11
